,tweet,class
92,b'Check out the Knights of the Ku Klux Klan www.kukluxklan.org they also have a internet news program usually updated weekly and can be seen with Real Player www.thomasrobb.com : )',noHate
93,b'Neanderthals were being constantly pushed South from the advancing and retreating Ice Ages and Glaciations .',noHate
94,b'The French N.B communities near Quebec especially would be white to .',noHate
95,b'They all p * * * * d off and stayed up their end with that stupid look on their faces .',noHate
96,b'But like I have said many times ... the haplogroup type ALONE will not tell or describe ones whole genetic map or how one looks like .',noHate
97,"b""Anybody with half a brain knows that 's it 's BS and how Negroes have n't done anything for the development of any society , let alone Europe .""",hate
98,b'And on the ground ground and pound and submissions have finished hundreds of fighters over the years .',noHate
99,b'Separation is the only answer !',hate
100,b'Any race of people who has been around for a few thousand years and still managed to stay Asian without being called racists must be doing something right .',noHate
101,b'Keep hearing how wonderful he was and someone even likened him to Christ !!',noHate
102,b'I seen two blacks in a whole week .',noHate
103,b'They are culturally raping european countries in every way .',hate
104,b'Yes my sister I fear this too for my babies sake I am scares to death I am looking for a support group as well for my family and i',noHate
105,"b'Gentlemen, I remember you that all the posts not in English will be deleted .'",noHate
106,"b'But one cannot deny that the greatest responsibility for this war goes to France and Great Britain , after all those are those two nations who have declared war in Germany ...'",noHate
107,"b'But remember , lots of people I hear say that their parents would kick off if their brought back a non-white home to introduce him/her as their partner .'",noHate
108,"b""Even when you 're hearing ' em for the umpteenth time you just have to smile like it 's new .""",noHate
109,b'I tried to buy an extra copy a while back and it was no longer available from my bookseller .',noHate
110,b'It seems anytime issues like this are highligted in the Irish Media immigrants in the long run end up staying in Ireland .',noHate
111,"b""For when a people is not willing or able to fight for its existence -- Providence in its eternal justice has decreed that people 's end .""",noHate
112,b'Y !',noHate
113,b'Many schools are closed in the area but ours hasnt had any problems so far .',noHate
114,b'My kids in school are only around kids born within a few months of them and they rarely get to talk .',noHate
115,b'LONG LIVE HOLY MOTHER RUSSIA !!',noHate
116,"b'YouTube - Euclid Square Mall , 2007 ( Dead Mall ) Can anyone report in from Euclid , Ohio ?'",noHate
117,b'Sometimes Europeans all look alike .',noHate
118,b'What happens to a domesticated animal forced to fend for itself ?',noHate
119,b'going to the show over in the third district on saturday im trying to go but probly will need a ride home thanks',noHate
120,"b'If teachers have to focus extra attention on foreigners because they cannot speak English properly , it will be the indigenous Irish students who will suffer .'",noHate
121,"b""And it will be leaving it a week before the actual election , I hope you are right but you are the first I 've heard to suggest this .""",noHate
122,b'Seems like you cant get away from these parasites anymore its happening and getting worse everywhere .',hate
123,"b""Well you 're wishing for the majority of white people in Britain to have their children burn in front of them and watch their flesh melt off of their bodies .""",noHate
124,"b""That 's your real religion and you worship that false god above everything else every day .""",hate
125,b'In this day and age this is possible ...',noHate
126,"b'Vancouver ( Burnaby , Richmond , Surrey ) I guarantee are worse than Calgary .'",noHate
127,"b""An AR10 is a weapon that 9/10 of those who own , myself included , do not have even half the range time or training with to actually use to it 's capabilities .""",noHate
128,b'They have updated much of their site and now have many more free faxes to send .',noHate
129,b'Three weeks in a house and no one knew he was dead what a sad indictement of modern England .',noHate
130,b'Any NS government that has them views are dangerous to their own people because they would decide who is worthy and unworthy and would make them king maker to decide that .',noHate
131,b'R.I.P my brothers and sisters for you are all heroes to me i need say no more cause actions speak louder than words .',noHate
132,"b""Please do n't use the fallacy of authority either .""",noHate
133,"b'158 carpenter NiB BCG , 1/7 twist , CHF barrel and chamber , comfy CTR stock , etc .'",noHate
134,"b""I'm on the south shore ...""",noHate
135,"b""Well that 's good to hear .""",noHate
136,b'Also if your intrested check out our webpage for more info on our european american town we are building !',noHate
137,b'Are there any ple`s started yet then ? and if so where are they so we can check them out maybe we will move to one .',noHate
138,"b""Didnt you just say we 're all going to die off anyway ... but its ok because more White people are going to replace us ?""",noHate
139,b'Who will volunteer to create pro-White audio books ?',noHate
140,b'Yes most certainly now you need to recruit more of you friends an such to join Stormfront and help our movement !',noHate
141,"b'On his first day of school , he is tormented by the evil spirited White children .'",noHate
142,"b""If you want to see what having a black , kenyan White-hating muslime in the Whitehouse has created , go look at Tarantino 's latest flick Django Unchained .""",hate
143,"b'The Jellyfish Nebula is about 5,000 light-years away .'",noHate
144,"b""In the winter this area is fenced off with signs with skull and cross bones that say ' Danger , do not go beyond this point . '""",noHate
145,b'So check your pm .',noHate
146,"b'R\xc3\xbc\xc3\xbctel , which is here [ in Iceland ] on a public visit with his wife , Indgrid R\xc3\xbc\xc3\xbctel , said furthermore tat alot of fear had been of Soviets using military force after their decloration of independance .'",noHate
147,b'Shocking This is a similiar incident to that of a Boy in England recently who was killed by Muslims for wearing an England Shirt .',noHate
148,b'Accuracy is compromised .',noHate
149,b'Am told I look like the Wrestler Stone Cold Steve Austin .',noHate
150,b'Switzerland pay 700 millions $ each year for refugees !!!',noHate
151,b'I watched a few minutes of it the other night and felt sick .',noHate
152,"b""They do n't like cold weather that much either i hear ! , so that would explain Iceland 's purity.Lets hope global warming is not for real so !""",noHate
153,b'Welcome to the front lines ...',noHate
154,b'I am so tired of it .',noHate
155,"b'We distribute propaganda , educate people , help whites , employ whites , post online , network , keep our neighborhoods safe , etc ...'",noHate
156,b'In Dallas',noHate
157,"b""hello, I 'm from Rome ...""",noHate
158,b'5 years later we split up .',noHate
159,"b""I wonder how much of this sort of behavior by Gates and his clique of social elites is because humans have an instinct to protect their position once they make `` top dog '' in a hierarchy .""",noHate
160,b'Fox news reported last night that this beast was caught eating parts of this young man when the police got onto the bus to apprehend him !',hate
161,"b""Thanks for the idea 's ...""",noHate
162,b'Thank the Gods she has chosen to go with her own kind .',hate
163,b'UK July 2009 .',noHate
164,b'Pellets flattened out quite nicely .',noHate
165,b'ignorant racist black lady wants free water.flv - YouTube Black guy goes crazy at popeye & #39 ; s - YouTube OLD RACIST BLACK LADY CURSING OUT WHITE FOLKS ON TRAIN !',noHate
166,b'http://www.amv3.com/forum/viewtopic.php ? p = 5542#5542',noHate
167,"b'Why not have it so every flyer has all the White languages on it ( in small print ) , yet have their native language in large print once on the top of the other translations , then once below it .'",noHate
168,b'Wait when did he single you out and call you a racist do you know him or have talk to him in person ?',noHate
169,b'I like the Wall idea .',noHate
170,b'Driving Virtual Adventure !',noHate
171,"b'Its not like they cheered on the attacker or gave him a weapon , or restrained the victim .'",noHate
172,"b'What he means is to not directly support as far as possible , as opposed to indirectly support the system itself ( via taxes etc ) .'",noHate
173,b'You might want to phone your favorite radio show host Alex Jones and educate him about the bankers .',noHate
174,b'The flag should have the leaf thingy and a mix between the French flag and the George Cross of England to show the ethnic heritage of the White Canadians',noHate
175,"b'The Best of West Ireland : Dingle , Galway and the Aran Islands - YouTube South Ireland : Waterford to the Ring of Kerry - YouTube Dublin and Mystical Side-Trips - YouTube Belfast and the Best of Northern Ireland - YouTube'",noHate
176,"b'Thanks , Greg'",noHate
177,"b""So I guess you 'll just have to go to the Canadian Prime Minister and ask him to declare you Emperor and step down , or something ?""",noHate
178,"b""It's their birth rate that people always forget .""",noHate
179,b'Another black is now trying to convince me that black slaves were force-fed animal lard through huge tubes and had their hands and feet cut off so they could work in the cotton fields without running away',hate
180,b'Because Whites are discouraged from breeding .',noHate
181,"b""I think they 're not White and dont belong in White nations .""",noHate
182,"b'12 kindred Spirits , the best of the White Race : convened with unity of purpose : saving The Sacred Gene Pool .'",noHate
183,"b""I'm curious ( but doubtful ) ; is there anyone here who 's expressed SUPPORT for Nordic superiority that is not Nordic himself ?""",noHate
184,"b'They are black and Hispanic , not white .'",noHate
185,"b""Amazing how 5 young bucks can break in to a little girls home , beat the child half to death before killing her and we are expected to believe that they did n't take turns at her while before finally killing her ...""",noHate
186,b'They fought fiercely for their land and got no mercy if captured alive',noHate
187,b'I work downtown Montreal but live off the island out in the country .',noHate
188,"b""And I thought this was slavic thread let 's continue about slavic countries and heritage , it 's not all about dispute between greece and rep.macedonia , no offence .""",noHate
189,"b""Don't care much for football these days and sincerely hope that the team called England get a hiding but i will be wearing my new Serbia shirt during the tournament.COME ON SERBIA DO US PROUD !""",noHate
190,b'The strength of our race is in the depth of love and care it shows to its own people .',noHate
191,"b'Nothing wrong with Quebec , they have very white cities and are a proud group of people Aside from the gay section of montreal , its a very nice city'",noHate
192,b'- Boleslav The brave .',noHate
193,"b'I think you all got your way , and they closed down the German minority in Upper Silesia thread under Activism and Politics in Europe .'",noHate
194,b'Congrats .',noHate
195,"b""Justin Butler , 28 , and Briana Adams , 21 ( coalburner ) , each face a criminal abuse charge after police say the couple 's infant child was found with six healing rib fractures and a broken femur http://www.lex18.com/news/couple-fac ... with-injuries/""",noHate
196,b'Excellent book I have read it several times and after reading this thread I think I will read it once again its well written and a good introduction into what is happening to our people.God Bless David Duke !',noHate
197,b'Africa : Britain Has Put Together A # 52m Aid Package For Drought Victims In The Horn Of Africa | World News | Sky News',noHate
198,"b'Yes, it is a symbol in the past and has no place in the present because when it is used for the advancement of white nationalism it proves to only hold us back so thus it shouldn t be used and should go down in history where it belongs .'",noHate
199,"b""Well at least I was when is was 15 that 's how long ago the picture was taken .""",noHate
200,"b'CGG, you and I have many of the same tastes .'",noHate
201,"b""It's a failure of the irish to do n't have a strong right radical party of their own .""",noHate
202,b'Hi i have not been on here in ages .',noHate
203,b'We will be announcing congressional candidates and local office candidates in a few months .',noHate
204,b'Always one coming up for sale .',noHate
205,b'He said he is offended by the Jewwatch website . Jewish Google owners',noHate
206,"b'With that many groups under the same AO , I wonder how much toe stepping is going to occur ... hope none of our own people get hurt .'",noHate
207,b'I ve been to cleveland several times for concerts and such but can only stand it for a few hours than i have to go .',noHate
208,"b""This is from the archive of Stormfront 's Advance Scout forum , which is solely devoted to the organizing strategy of PLE-Legionism .""",noHate
209,b'At least skip ahead to 9 : 50 and watch the final minute .',noHate
210,b'I was sort of hoping that they will bring back Ebola and spread it around to their own kind and the rest of the undesirables who are not wanted here .',hate
211,b'Welcome to SF Britain great white brit I must say the influx of new members so far this month is very good news .',noHate
212,b'What city and when was this that no calls could be made out .',noHate
213,"b""Pretty soon , there 's not going to be anywhere left to run .""",noHate
214,b'Or a Ukraine for that matter .',noHate
215,"b'I never did it to look like a skinhead , but it was funny in high school when all the blacks and mexicans stared at me when I would walk by .'",noHate
216,b'I hope this will catch on like the 14 words .',noHate
217,"b""Well, I 'm not a skin nor I 'm from San Diego , however I 'm glad to see you back .""",noHate
218,"b'I am not going to be beat down by a dyke , fag , or coon .'",hate
219,b'Best to All !',noHate
220,"b""Israeli Minister `` We always use the anti-Semitism trick or bring up the Holocaust '' - YouTube""",noHate
221,b'Instead I am seeing this tiny percentage of black wrestlers taking all the MMA spots .',noHate
222,b'Ya I saw that and laughed myself sick over it .',noHate
223,"b""It 's usually the `` gangstas '' that use this pose .. and some scene kids , but even scene kids listen to ( c ) rap / hip hop , so ..""",noHate
224,b'Definitely an act of Genocide .',noHate
225,b'Justin Trudeau is an Embarrassment to Canada - YouTube',noHate
226,"b""I do n't need my car vandalised or my dog poisoned , etc .""",noHate
227,b'Amen .',noHate
228,"b'In fact , if you buy California fruit , you have tasted illegal alien DNA .'",hate
229,"b""There 's one billboard that has the candidate , two black supporters , and Congressman Steve Cohen .""",noHate
230,b'Yep!',noHate
231,"b'Peter, these people have just been brainpolluted .'",noHate
232,b'We will never forget this to your nation and to your country !',noHate
233,b'I guess I should have included a warning for those who click on it .',noHate
234,"b""Click on the `` DOWNLOAD ( 7.39 MB ) '' link .""",noHate
235,b'You have to have your extreme papers to move here .',noHate
236,b'Worse than Benefits St.',noHate
237,"b""They 're a waste of space and they 're filthy , tax payer robbing , mentally challenged , primitive , unintelligent cultural trash .""",hate
238,"b""Well-known area Jewelry Store Owner , John ' The Jeweler ' Lauseng shot & killed during robbery White Owner Of Jewelry Store Murdered , No Prizes For Guessing Who By - NNN Reporters Newsroom Forum R.I.P.""",noHate
239,b'I say it is better to be very strict with your kid and homeshcool if possible than not to and hope for the best .',noHate
240,b'Travel through the USA 5 .',noHate
241,b'The German men sound so sexy .',noHate
242,"b""Assuming it 's not a public phone number I 'd put adverts in phone boxes saying he takes it up the bum for a tenner .""",noHate
243,"b'Usually go to Lake Michigan Beach , MI .'",noHate
244,b'Kindest Regards JE .',noHate
245,"b'What is colour , is that ghetto fly , super dawg slang ???'",noHate
246,b'They will vote in a conservative but when the conservative does anything conservative the marxist left label the conservative as an idiot or a racist .',noHate
247,b'Both my first and last name are of Scottish origin .',noHate
248,b'Just saying .',noHate
249,"b""My son ever comes home with something like that and you can bet I 'll have something to say about it .""",noHate
250,b'Welcome Erica .',noHate
251,b'I almost took out a dozen of them fighting in the street the other night .',noHate
252,"b""Los Angeles braces for weekend of `` Carmageddon '' - US news - msnbc.com""",noHate
253,"b'I imagine that modern Italians can understand most of any given Late Latin text written approximately two thousand years ago , without any problems .'",noHate
254,b'Im sure they all hear great things about Ireland and there more than welcome to come over here ...',noHate
255,b'Any suggestions on what I should get ?',noHate
256,b'How could you begin to tell people that all this multi cultural stuff is wrong without being hated on by our fellow people ?',noHate
257,b'were in chicago u live ?',noHate
258,"b""Ireland does n't need arab scum like these .""",hate
259,"b'http://www.nature.com/news/2011/1109....2011.518.html This site is great for our cause .. It tells a whole different story through DNA , not political BS .'",noHate
260,b'I never at any time claimed this you moron .',noHate
261,"b'The language itself , though , is nowhere near that .'",noHate
262,b'Actually I never had too many women until I became a white nationalist .',noHate
263,b'I understand this but unfortunatly I have no one else to turn to .',noHate
264,b'man as that video went along i got more and more fearful that there would be a tag at the end stating all in the video had been assaulted or murdered. glad it turned out better than that .',noHate
265,b'http://news.bbc.co.uk/2/hi/africa/8130746.stm',noHate
266,b'http://www.exterminationist.com/science.htmhttp://www.exterminationist.com/leaflets.htm There is alot of work to be done .',noHate
267,"b""There is only about 10 black kids in our school and 300 f' n spics. its my senior year and i really cant stand all this anymore. i know there are lots of others on this board that feel the same , but i need some support !""",hate
268,b'After all thats happened since the end of apartheid it amazes me how whites in south africa can still look up to mandela .',noHate
269,b'Alley mills spring is an artists dream area .',noHate
270,"b'Exactly, I stand alone here .'",noHate
271,"b""Below is the `` Story of Sergey Brin '' the owner of google .""",noHate
272,"b""Exactly if there was a network of devoted white nationalists across Canada there 's no knowing what we could actually accomplish .""",noHate
273,b'i sort of understand where you are coming from but plenty of whites have sold us down the river so to speak although the jew is always in the background its very complicated will we ever find out the truth. somalians = scumalians !',hate
274,b'That lady is short next to everyone else .',noHate
275,"b""I 'm glad we were able to get back to NS in the NS thread .""",noHate
276,"b'It is very hard for average Whites to see their own disenfranchisement , let alone realize that it is planned .'",noHate
277,"b""Do n't slam on the brakes !""",noHate
278,"b'This is precisely the frustration that brings any White person round to white nationalism , so obviously you are in exactly the right place .'",noHate
279,"b'All rapes are disgusting , but raping a FIVE year old ???'",noHate
280,"b'DR Congo troops accused of rapes Government troops in the Democratic Republic of Congo carry out most of the rapes of civilians caught up in the war with rebel groups , a rights group says .'",noHate
281,"b'Children , like most animals , will respond to the appropriate feed back .'",noHate
282,b'Please do not hurt those fine masons first they have to hand over the maps on the locations of the cupped oil wells .',noHate
283,"b""Yeah , it 's expensive .""",noHate
284,b'In Search of the First Civilizations by Michael Wood .',noHate
285,b'Japan REACTOR - RODS MELT !',noHate
286,b'Watch out Finland : http://www.nettavisen.no/servlets/pa ... = 3 & item = 217373 : attack',noHate
287,b'This is typical in public schools .',noHate
288,"b""I hope that all the security personnel and hangers-on who I saw chasing girls in the Voodoo lounge the other day do n't tell all their friends back in the Bronx about Latvia as a holiday destination !""",noHate
289,b'on a TV show yesterday regardin crime by foreigners in Russia a black man stood up and proclaimed that crime has no colour or race. every vigoursoly clapped',noHate
290,b'In the battle of languages English has won .',noHate
291,"b""There 's one up now for what used to be a white church that shows two couples - white/Asian , and White/Mexican .""",noHate
292,"b'i didnt try it yet but i guess i should check it out ; thankx i hope that link gave whoever needed it some info on whatever she ( i dont remember her name , sorry ) needed later'",noHate
293,"b""Chicago passed New York as America 's murder capital in 2012 despite the Windy City only having a third of the Big Apple 's population .""",noHate
294,"b'Homosexuals practice a perverse lifestyle that destroys the body , mind , and soul just as drug use does ; merely two paths to the same destructive end .'",hate
295,b'I agree .',noHate
296,b'i live near albany but i could hang out with u if u want we could beat upsome unpure infidels if you would like',hate
297,b'The negress above have boasted about that she will become the first black woman as the prime minister of Sweden .',noHate
298,b'It is happening .',noHate
299,b'I had never even heard of Stormfront until the night I found it and joined .',noHate
300,"b'It is our ( White ) language , just like French is our language even though millions of negroes in Africa speak it .'",noHate
301,b'the father said on the news this morning the church has already told him they would appel the verdict and if they lost again they would just file bankruptcy and he wouldnt see a dime !',noHate
302,b'I got sloppy seconds after some Muslims used this girl .',hate
303,b'WRS 14/88',noHate
304,b'Especially in this liberal area .',noHate
305,b'April 2011 ( down on wheels and handling test ) - YouTube Bomber-Bike Project Stage 3 ( Motorrad mit Sternmotor ) - YouTube Bomber - Bike Transmission Stage 4 ( Motorrad mit Sternmotor ) - YouTube',noHate
306,b'Can they mix like that ?',noHate
307,b'The only way to deal with these animals is to give them a one way ticket to their filthy pig god .',hate
308,"b'This is the last straw , how much more will damage Europe and Western civilization these Zionists ?'",hate
309,b'Historic vehicle Laurin Klement T. B 1899-1903 http://i4.ytimg.com/vi/cVQSTM-WTZk/mqdefault.jpg white loop-frame motorcycle with pedal start Awesome custom replica of 1900s Czech .',noHate
310,"b""Revered for their intellectual depth , technical command and artistic beauty , Bach 's works include the Brandenburg concertos , the Goldberg Variations , the Partitas , the Well-Tempered Clavier , the Mass in B Minor , the St Matthew Passion , the St John Passion , the Magnificat , The Musical Offering , The Art of Fugue , the English and French Suites , the Sonatas and Partitas for solo violin , the Cello Suites , more than 200 surviving cantatas , and a similar number of organ works , including the celebrated Toccata and Fugue in D minor and Passacaglia and Fugue in C minor .""",noHate
311,b'Some of the things I have heard about teachers having to put up with is insane .',noHate
312,b'We should be able to have guns in the UK most of the criminals have them so why not we need to protect ourselfs as well !',noHate
313,"b""I went outside and the niglet 's mom told me my daughter had hit her first .""",hate
314,b'Perhaps this person would care to use the PM facility and let others know how happy he/she is to join WS .',noHate
315,b'But the camellia idea is great .',noHate
316,"b'www.hsc.edu Hillsdale College , Hillsdale , Mich.'",noHate
317,"b""I wonder if they 'll let me keep the extra euro if i say i 'm ' ' unwaged ' ' .""",noHate
318,"b""You 're worried about affirmative action and liberals , that 's your spot .""",hate
319,b'i hope our patriots will throu eggs at them and will say some thing like get out to the jungle or i think our coach will make them to go to the trainnig at minus - 30C or - 50F that they uuuu will never be able to play agane and will fly to africa after first tranning 2508',hate
320,b'Who is asking you to ?',noHate
321,"b""I ca n't find an actual picture of it anywhere , but there 's lots of references to it .""",noHate
322,b'There have been times when I have walked past some nigerian or skinny and they will cough with hand at their side without care for those around them .',hate
323,b'They change with what I wear too and turn yellow in the sun .',noHate
324,b'That s how I and my friends were for awhile we have the same beliefs but knew nothing of the WN movement or WN until one day I was searching the web and came across a white nationalist site and there was a link to stormfront on it and from there I told my friends about it and now we will try and spread the word !',noHate
325,"b'Absolutely, whenever i see a dirty white coon with dreadlocks i get the urge to grab him by his flea blanket head and head butt him senseless'",hate
326,b'New Square Meats allegedly sold nearly 2 million uninspected birds to unsuspecting customers . Source',noHate
327,"b'Please, put a link to follow the results as long as the count of votes begin !'",noHate
328,"b""The only older person I know who I can act racist around is my friend 's mom .""",noHate
329,"b'AS in Business Admin , bachelors may have to wait because the college system in California is falling apart fast with tuition skyrocketing and admission shrinking .'",noHate
330,"b'Rhodine van der Walt was shot and killed in her home in Kempton Park on Saturday night , 1 Feb 2014 by blacks .'",noHate
331,"b""The country with the most significant `` baby-boom '' is Estonia ( TFR from ~ 1,2 in 1998 to ~ 1,7 in this year ) : http://pub.stat.ee/px-web.2001/Dialo...Births/&lang=1AlsoCzechRep.hasitsfertilityratesignificiantlyincreased:http://www.czso.cz/eng/csu.nsf/informace/aoby032008.doc Denmark and Norway in this year probably will have record high TFR level since early 1970 's .""",noHate
332,b'I encourage everyone to read the following information about one of the best opportunities the White race has left for survival : http://www.natallhv.com/what.html',noHate
333,"b""Light and brilliant ; as , `` a lambent style ; lambent wit . ''""",noHate
334,"b""Gatsby Coram & Stoney Westmoreland - FedEx Commercial `` Vacation at home '' - YouTube""",noHate
335,b'Thank you for sharing this website with us its really intrested and I learned something new and I like to learn .',noHate
336,b'That is why I asked for I figured you would be eithre very wee or very not so wee .',noHate
337,b'Stupid White Man TV Commercials',noHate
338,"b""Judge says `` he 's overly found of children '' and lets him off with slap on wrist .""",noHate
339,b'Good to see WN is back in Limerick it might counter balance some of the bleeding hearts down here who thought it was fashionable to have ethnic diversity Badboybillx',noHate
340,"b'http://news.bbc.co.uk/2/hi/africa/6217719.stm There you have it folks , Nigeria is acting like one big ghetto queen squeezing out more baby negroes for a bigger handout from the government .'",hate
341,"b""It 's not like cops are running around framing black people for crimes all day .""",noHate
342,b'But Israel disagrees .',noHate
343,b'See Jeff Cooper for further instruction .',noHate
344,b'Though Micronesians eat it by the gross .',noHate
345,b'Got a great deal too .',noHate
